Age,Surviving Mid-Ocean Ridge Fraction (%),Mean Length-Averaged Half Spreading Rate (mm/yr),Error+ Length-Averaged Half Spreading Rate (mm/yr),Error- Length-Averaged Half Spreading Rate (mm/yr),pCO2,Error+ Atmospheric pCO2 (ppm),Error+ Atmospheric pCO2 (ppm),d18O of Benthic Foraminifera (per mil),1std of d18O of Benthic Foraminifera (per mil),d13C of Benthic Foraminifera (per mil),1std of d13C of Benthic Foraminifera (per mil)
0,100,23.56,0.13,0.12,230,0,0,4.32,1,0.35,0.5
1,100,24.15,0.68,0.66,255,25,25,3.84,0.75,0.17,1
2,100,24.15,0.68,0.66,265,50,25,3.59,0.5,0.17,1
3,100,24.15,0.68,0.66,315,50,25,3.33,0.5,-0.2,1
4,92.4,26.72,1.5,1.42,326,75,50,3.09,0.5,-0.07,0.75
5,92.4,26.72,1.5,1.42,341,100,50,2.81,0.4,0.02,0.75
6,92.4,26.72,1.5,1.42,288,100,50,2.77,0.4,0.19,0.5
7,92.4,26.72,1.5,1.42,245,100,50,2.65,0.3,1.08,0.4
8,92.4,26.72,1.5,1.42,241,100,50,2.75,0.3,0.98,0.3
9,92.4,26.72,1.5,1.42,241,100,50,2.7,0.25,1.16,0.2
10,92.4,26.72,1.5,1.42,266,150,50,2.58,0.25,1.07,0.1
11,92.4,26.72,1.5,1.42,277,150,50,2.59,0.25,1.05,0.1
12,89.4,30.96,2.39,2.44,268,200,50,2.41,0.25,1.13,0.1
13,89.4,30.96,2.39,2.44,265,200,50,2.17,0.25,1.28,0.2
14,89.4,30.96,2.39,2.44,247,200,50,1.77,0.25,1.54,0.25
15,89.4,30.96,2.39,2.44,234,250,50,1.67,0.25,1.57,0.3
16,89.4,30.96,2.39,2.44,393,400,100,1.69,0.25,1.71,0.2
17,89.4,30.96,2.39,2.44,316,450,75,1.82,0.25,1.25,0.1
18,89.4,30.96,2.39,2.44,254,500,50,1.89,0.25,0.97,0.1
19,89.4,30.96,2.39,2.44,272,200,50,1.95,0.25,0.85,0.1
20,89.4,30.96,2.39,2.44,287,250,50,2.01,0.25,0.85,0.1
21,86.9,30.85,4.53,3.87,287,250,50,2,0.25,0.92,0.1
22,86.9,30.85,4.53,3.87,280,200,50,1.81,0.4,1,0.2
23,86.9,30.85,4.53,3.87,277,200,50,1.88,0.4,1.17,0.2
24,86.9,30.85,4.53,3.87,333,250,100,1.68,0.2,0.92,0.3
25,86.9,30.85,4.53,3.87,385,250,100,1.84,0.2,0.64,0.2
26,92.8,32.1,3.1,2.73,460,300,150,2.59,0.2,0.78,0.2
27,92.8,32.1,3.1,2.73,467,300,150,2.66,0.2,0.63,0.1
28,92.8,32.1,3.1,2.73,451,250,150,2.61,0.3,0.57,0.1
29,92.8,32.1,3.1,2.73,436,200,150,2.6,0.3,0.52,0.1
30,92.8,32.1,3.1,2.73,489,200,150,2.6,0.3,0.67,0.2
31,92.8,32.1,3.1,2.73,615,150,200,2.51,0.2,0.94,0.2
32,92.8,32.1,3.1,2.73,792,150,200,2.49,0.2,0.97,0.2
33,92.8,32.1,3.1,2.73,914,200,250,2.72,0.2,1.33,0.2
34,90.9,30.29,2.42,2.27,930,250,250,1.69,0.2,0.98,0.2
35,90.9,30.29,2.42,2.27,884,250,250,1.74,0.2,0.99,0.1
36,90.9,30.29,2.42,2.27,827,250,250,1.72,0.1,0.81,0.1
37,90.9,30.29,2.42,2.27,777,250,250,1.61,0.1,0.76,0.1
38,90.9,30.29,2.42,2.27,733,250,250,1.44,0.1,0.75,0.1
39,90.9,30.29,2.42,2.27,720,250,250,1.35,0.1,0.82,0.2
40,90.9,30.29,2.42,2.27,846,250,200,1.23,0.1,0.94,0.2
41,88.6,25.87,2.12,2.11,909,300,200,1.07,0.1,0.91,0.2
42,88.6,25.87,2.12,2.11,943,300,200,0.97,0.1,0.81,0.2
43,88.6,25.87,2.12,2.11,956,350,200,0.91,0.1,0.78,0.2
44,88.6,25.87,2.12,2.11,1026,350,250,0.88,0.1,0.77,0.2
45,88.6,25.87,2.12,2.11,1057,400,250,0.8,0.1,0.75,0.2
46,88.6,25.87,2.12,2.11,1089,400,250,0.59,0.1,0.73,0.2
47,88.6,25.87,2.12,2.11,1091,350,250,0.35,0.1,0.74,0.2
48,86.2,25.99,2.63,2.52,1048,350,250,0.15,0.1,0.86,0.2
49,86.2,25.99,2.63,2.52,1069,350,250,0.02,0.1,0.86,0.2
50,86.2,25.99,2.63,2.52,1083,400,250,-0.06,0.1,0.76,0.2
51,86.2,25.99,2.63,2.52,1025,400,250,-0.08,0.1,0.53,0.2
52,86.2,25.99,2.63,2.52,792,300,150,-0.09,0.1,0.32,0.2
53,86.2,25.99,2.63,2.52,805,300,150,0.03,0.1,0.35,0.2
54,86.2,25.99,2.63,2.52,581,300,100,0.2,0.2,0.85,0.2
55,86.2,25.99,2.63,2.52,381,350,25,0.27,0.2,1.34,0.2
56,86.2,25.99,2.63,2.52,400,350,50,0.48,0.1,1.98,0.2
57,86.2,25.99,2.63,2.52,456,300,50,0.7,0.1,2.09,0.2
58,75.9,27.37,3.17,3.02,507,300,50,0.79,0.1,1.97,0.2
59,75.9,27.37,3.17,3.02,545,300,100,0.74,0.1,1.52,0.2
60,75.9,27.37,3.17,3.02,463,350,50,0.68,0.1,1.22,0.2
61,75.9,27.37,3.17,3.02,419,350,50,0.62,0.1,1.11,0.2
62,75.9,27.37,3.17,3.02,359,400,25,0.61,0.2,1.07,0.2
63,75.9,27.37,3.17,3.02,331,400,25,0.62,0.2,1.19,0.2
64,75.9,27.37,3.17,3.02,326,400,25,0.73,0.2,1.35,0.2
65,75.9,27.37,3.17,3.02,399,400,50,0.79,0.2,1.58,0.2
66,75.9,27.37,3.17,3.02,476,400,100,0.87,0.2,1.8,0.2
