Grain size percentage. grain size in 10^(-6) m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
0-2,2-4,4-8,8-16,16-25,25-35,35-50,50-63,63-75,75-88,88-105,105-125,125-150,150-177,177-210,210-250,250-300,300-354,354-420,420-500,500-600,600-707,707-850,850-1000,1000-1190,1190-1410,1410-1680,1680-2000,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
16.1,4.8,6.6,7.1,5,2.4,2.5,4.7,39.7,9.7,0.8,0.3,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,9.14,2.66,0.243
13.6,5.4,12.8,13.1,9.1,4.4,9.6,17.1,12.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,10.7,2.65,0.284
56.7,0,1.6,1.6,1,0,3.8,11.6,20.7,1.8,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,28.3,2.66,0.307
16.2,6.4,8.1,6.8,5,2,3,9.5,38,3.9,0.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,67.5,2.66,0.288
16.5,6.9,12.6,10.9,8.4,4.6,6.2,10.5,22.2,0.8,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,2.42,2.65,0.237
15.9,5.2,12.2,12.2,9.6,6.3,11,17.4,8.9,0.5,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,5.4,2.65,0.272
12.7,4,8.7,8.8,7.5,5.9,12.7,22.2,15.8,1.2,0.2,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,16.4,2.66,0.294
13.4,8.2,12.1,11.5,8.2,4.6,8.1,5.7,25.5,1.8,0.2,0,0,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0,0,0,0,0,0,11.7,2.65,0.229
13.4,9,13,10.1,6.3,3.4,6.2,10.4,26.5,1.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,6.58,2.65,0.241
15,5.1,8.8,6,4,2.6,14.1,34.5,9.1,0.3,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,27.3,2.64,0.312
11.2,8.3,11.2,9.4,7.7,6.3,14.6,25.7,5.3,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,47.8,2.65,0.29
12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,86,2.67,0.282
16.8,6.3,9.5,7.8,7.2,2.7,12.5,17,19.5,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,58.8,2.66,0.274
13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,654,2.66,0.309
10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,189,2.65,0.283
17.1,6.3,8,8.7,6.6,3.9,6.9,14.8,26,1.4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,2.66,0.243
