Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
2.82,0.190,0.180,,,,
2.89,0.240,0.220,,,,
2.81,0.350,0.320,,,,
3.19,0.030,0.020,,,,
3.08,0.120,0.110,,,,
3.04,0.100,0.080,,,,
2.91,0.180,0.157,,,,
2.94,0.163,0.150,,,,
2.77,0.433,0.397,,,,
2.92,0.160,0.143,,,,
3.03,0.077,0.023,,,,
3.08,0.053,0.043,,,,
2.78,0.160,0.150,,,,
3.10,0.170,0.130,,,,
3.09,0.190,0.150,,,,
3.04,0.360,0.310,,,,
3.10,0.050,0.030,,,,
3.03,0.330,0.310,,,,
3.03,0.250,0.200,,,,
2.92,0.300,0.290,,,,
2.96,0.237,0.233,,,,
2.97,0.147,0.130,,,,
3.04,0.150,0.120,,,,
3.05,0.090,0.090,,,,
3.09,0.055,0.040,,,,
2.94,0.310,0.310,,,,
3.09,0.060,0.030,,,,
3.06,0.150,0.130,,,,
2.88,0.350,0.320,,,,
2.97,0.120,0.070,,,,
2.93,0.155,0.125,,,,
2.69,0.123,0.107,,,,
3.11,0.290,0.195,,,,
3.06,0.330,0.320,,,,
3.04,0.220,0.200,,,,
3.09,0.200,0.170,,,,
3.02,0.360,0.350,,,,
2.83,0.260,0.260,,,,
2.84,0.355,0.350,,,,
2.85,0.160,0.150,,,,
2.82,0.320,0.320,,,,
2.78,0.120,0.100,,,,
2.76,0.080,0.070,,,,
2.84,0.320,0.300,,,,
2.78,0.090,0.080,,,,
2.96,0.025,0.015,,,,
2.84,0.210,0.190,,,,
2.80,0.140,0.130,,,,
2.84,0.310,0.300,,,,
2.80,0.280,0.270,,,,
2.75,0.115,0.100,,,,
2.86,0.240,0.240,,,,
2.77,0.150,0.140,,,,
3.10,0.230,0.120,,,,
3.07,0.240,0.150,,,,
3.08,0.220,0.070,,,,
3.09,0.320,0.210,,,,
3.08,0.340,0.260,,,,
2.97,0.150,0.120,,,,
2.97,0.060,0.050,,,,
2.98,0.060,0.040,,,,
3.06,0.180,0.170,,,,
3.06,0.090,0.070,,,,
3.07,0.100,0.090,,,,
3.07,0.180,0.180,,,,
3.08,0.310,0.120,,,,
3.08,0.250,0.120,,,,
3.08,0.230,0.090,,,,
3.08,0.290,0.200,,,,
3.10,0.300,0.130,,,,
3.08,0.070,0.070,,,,
3.08,0.080,0.080,,,,
3.07,0.110,0.070,,,,
3.10,0.210,0.070,,,,
3.08,0.240,0.120,,,,
3.11,0.130,0.045,,,,
3.09,0.120,0.050,,,,
3.09,0.165,0.075,,,,
2.97,0.190,0.170,,,,
2.99,0.100,0.095,,,,
2.74,0.320,0.310,,,,
2.70,0.420,0.430,,,,
2.78,0.450,0.430,,,,
2.79,0.440,0.440,,,,
2.98,0.100,0.090,,,,
2.85,0.250,0.230,,,,
2.97,0.180,0.160,,,,
2.64,0.370,0.370,,,,
2.77,0.450,0.450,,,,
2.89,0.500,0.490,,,,
2.89,,0.000,,,,
2.89,0.540,0.530,,,,
2.84,0.500,0.480,,,,
2.86,0.490,0.490,,,,
2.79,0.510,0.490,,,,
2.94,0.110,0.120,,,,
2.80,0.180,0.180,,,,
2.99,0.110,0.100,,,,
2.99,0.140,0.140,,,,
2.99,0.080,0.070,,,,
3.06,0.070,0.060,,,,
3.08,0.130,0.110,,,,
3.09,0.080,0.070,,,,
3.08,0.080,0.070,,,,
3.06,0.070,0.060,,,,
3.07,0.090,0.075,,,,
2.92,0.173,0.143,,,,
3.09,0.300,0.170,,,,
2.97,0.290,0.270,,,,
3.00,0.310,0.280,,,,
3.05,0.250,0.210,,,,
3.00,0.365,0.365,,,,
3.01,0.315,0.290,,,,
2.98,0.350,0.340,,,,
3.03,0.270,0.240,,,,
3.02,0.310,0.300,,,,
3.02,0.330,0.320,,,,
3.02,0.350,0.350,,,,
3.01,0.290,0.285,,,,
3.01,0.290,0.280,,,,
3.03,0.280,0.260,,,,
2.98,0.120,0.110,,,,
2.99,0.080,0.080,,,,
2.99,0.150,0.130,,,,
3.00,0.300,0.310,,,,
2.98,0.280,0.280,,,,
3.00,0.330,0.320,,,,
2.99,0.320,0.320,,,,
2.97,0.170,0.150,,,,
2.97,0.150,0.130,,,,
2.99,0.170,0.150,,,,
2.98,0.060,0.060,,,,
2.97,0.070,0.070,,,,
2.99,0.130,0.120,,,,
3.06,0.070,0.060,,,,
3.00,0.100,0.100,,,,
2.99,0.100,0.100,,,,
2.98,0.070,0.070,,,,
2.98,0.180,0.180,,,,
2.96,0.290,0.275,,,,
3.05,0.300,0.200,,,,
2.99,0.280,0.270,,,,
3.00,0.290,0.275,,,,
3.00,0.270,0.260,,,,
3.01,0.330,0.320,,,,
3.04,0.260,0.240,,,,
3.05,0.280,0.210,,,,
3.02,0.280,0.240,,,,
3.05,0.300,0.250,,,,
3.06,0.300,0.230,,,,
3.08,0.150,0.130,,,,
3.08,0.170,0.160,,,,
3.06,0.070,0.060,,,,
3.08,0.070,0.060,,,,
3.07,0.090,0.070,,,,
3.03,0.160,0.130,,,,
3.03,0.180,0.150,,,,
3.03,0.080,0.080,,,,
3.04,0.070,0.060,,,,
3.03,0.065,0.060,,,,
